"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",660,14,140.000000000037,9168361,0.46466181254798,4792908
"2","cell2",1714,35,390.008333333143,11836666,0.622342007633554,19028191
"3","cell3",4831,99,200.008333333316,10353223,0.277542274066426,10153265
"4","cell4",776,16,320.008333333207,10699226,1.18483185771733,13205696
"5","cell5",4681,96,170.00000000001,10099384,0.720380234449385,8309626
"6","cell6",4050,83,230.008333333288,9959631,1.73268528800192,7471072
"7","cell7",2193,45,280.008333333243,11037835,0.530409773136591,14328103
"8","cell8",111,3,40.0083333333317,8698732,0.827712636925432,3810332
"9","cell9",2042,42,240.008333333279,10976193,2.22474092068394,13819821
"10","cell10",2087,43,200.008333333316,10904443,0.742105927461478,13756522
"11","cell11",3564,73,270.008333333252,11369862,0.535059212018306,15399888
"12","cell12",2083,43,160.000000000019,9789024,2.11074818120825,6421412
"13","cell13",1109,23,220.008333333298,11036267,1.36581314578423,14244582
"14","cell14",866,18,240.008333333279,9731717,1.90077309901711,6222852
"15","cell15",3407,70,170.00000000001,9071921,1.29783804027877,4401490
"16","cell16",4104,84,280.008333333243,11833175,0.74523133701156,18958936
"17","cell17",3357,69,160.000000000019,9259555,1.43658531682423,5439124
"18","cell18",332,7,290.008333333234,11857452,1.00404529714728,19325647
"19","cell19",4714,97,10.0000000000001,8483432,0.273366610550887,3446880
"20","cell20",3785,78,30.0083333333323,8652447,1.54768429922448,3800602
"21","cell21",2235,46,210.008333333307,10100993,1.88654372214518,8330530
"22","cell22",4789,98,270.008333333252,11710357,1.88421218174777,16965785
"23","cell23",4301,88,290.008333333234,11179391,0.750865214297109,14675992
"24","cell24",4421,91,20.0083333333328,8499797,1.56686495788814,3508687
"25","cell25",2935,60,350.008333333179,11777272,0.417520725565529,17843509
"26","cell26",2038,42,200.008333333316,9450921,0.571690251586773,5545854
"27","cell27",2427,50,170.00000000001,9290925,0.618922727968724,5456743
"28","cell28",918,19,270.008333333252,10016905,0.656200460781057,7718989
"29","cell29",4249,87,260.008333333261,9497546,0.756577599278206,5565666
"30","cell30",3654,75,190.008333333325,9981995,0.281348698800096,7645456
"31","cell31",4301,88,290.008333333234,11179391,1.44777458594986,14676762
"32","cell32",2907,60,70.0000000000018,9134661,1.08441433558544,4686190
"33","cell33",1802,37,290.008333333234,10493323,0.976047472128505,11452890
"34","cell34",3342,69,10.0000000000001,8366765,0.383711276604232,2922032
"35","cell35",3023,62,250.00833333327,11079755,1.27972185915894,14539763
"36","cell36",3558,73,210.008333333307,9730840,1.49115842861266,5987363
"37","cell37",2538,52,300.008333333225,11425123,0.371817972359121,15628177
"38","cell38",1903,39,320.008333333207,11861157,0.468145834734732,19327461
"39","cell39",1349,28,170.00000000001,9796364,0.976256685101499,6453620
"40","cell40",3614,74,280.008333333243,10720880,0.350247068335773,13244767
"41","cell41",629,13,320.008333333207,9299330,0.53385150190609,5460138
"42","cell42",465,10,150.000000000028,8997243,0.48159513672827,4053880
"43","cell43",2480,51,210.008333333307,10432114,0.888896914826244,10975276
"44","cell44",2040,42,220.008333333298,10316445,0.54352675999775,10050488
"45","cell45",3416,70,260.008333333261,9690731,1.03875880168252,5871759
"46","cell46",4495,92,270.008333333252,9898846,0.751115989426247,7051744
"47","cell47",4011,82,330.008333333198,10987092,1.60958271545053,13880381
"48","cell48",2287,47,240.008333333279,10419672,0.899375335661857,10870492
"49","cell49",4328,89,70.0000000000018,9154567,1.41959278380944,4751869
"50","cell50",3439,71,0,8343754,1.03163244392406,2882660
"51","cell51",1617,33,408,11808108,0.972998369808668,18062526
"52","cell52",2688,55,330.008333333198,10922805,0.369239785483195,13767089
"53","cell53",960,20,200.008333333316,10229909,1.06723644429875,9395667
"54","cell54",3759,77,260.008333333261,11126436,0.939953613023073,14577304
"55","cell55",3030,62,320.008333333207,11791279,1.59263238469584,17890115
"56","cell56",3373,69,320.008333333207,11884058,0.354620811432246,19446304
"57","cell57",236,5,310.008333333216,10661464,1.80308142460841,13061670
"58","cell58",3493,72,50.0083333333311,8867816,0.486027494539987,3932095
"59","cell59",820,17,270.008333333252,9830885,0.301240075349926,6614998
"60","cell60",4007,82,290.008333333234,9539642,1.75802820421679,5569822
"61","cell61",4699,96,350.008333333179,11781048,0.620132060699519,17860599
"62","cell62",4098,84,220.008333333298,10693116,0.969669700963191,13173555
"63","cell63",2335,48,230.008333333288,10407702,0.573456650498149,10835138
"64","cell64",291,6,370.008333333161,10036223,1.26537670365484,7752220
"65","cell65",2081,43,140.000000000037,9503078,1.19866594018364,5568825
"66","cell66",3416,70,260.008333333261,9690731,0.542723775814393,5873229
"67","cell67",3417,70,270.008333333252,10074944,1.42458401221236,7901114
"68","cell68",2190,45,250.00833333327,10464926,0.571992852804907,11142026
"69","cell69",1353,28,210.008333333307,10469320,2.12654132893012,11294194
"70","cell70",3418,70,280.008333333243,10381652,0.286089035245665,10554670
"71","cell71",770,16,260.008333333261,10093410,1.98469707429407,8115025
