"","comp_1","comp_2","comp_3"
"cell1",0.0742799092479422,0.0782231504641809,-0.0272411465313201
"cell2",-0.233081648691287,-0.0523396098913203,-0.0346694225248118
"cell3",0.199880879308703,-0.124650186843011,-0.0355753116713092
"cell4",-0.114810446805346,0.00617408233619112,0.00536152698834181
"cell5",0.197247264547502,-0.125422787904312,-0.0312025723056894
"cell6",0.22077354457722,-0.0781123859011159,-0.00130791905191233
"cell7",-0.0771020628506159,-0.0996540488736714,0.0239644909809485
"cell8",0.0829523219102815,0.0668801289431554,-0.0308575537276768
"cell9",-0.136627781269282,0.0492936644994431,0.0240631441092998
"cell10",-0.0495555876229791,-0.131790504124649,0.042576578209556
"cell11",-0.171288699129696,-0.000831094496618055,0.00750625218045238
"cell12",0.237848131193524,-0.0228487585675309,0.0257336377305631
"cell13",-0.129443647862298,0.0158022897940077,0.0111872266827791
"cell14",0.219055902366797,0.0182659259829678,0.0433079971001727
"cell15",0.076518577444409,0.0766175824861424,-0.0260223524218549
"cell16",-0.220370576397962,-0.0594988709898386,-0.0144785525205665
"cell17",0.150078272010971,0.060441704668548,-0.0133164172020075
"cell18",-0.226982991197125,-0.0467901961411248,-0.0235317121935245
"cell19",0.069306661170457,0.0675781144032234,-0.0467328832569416
"cell20",0.0782295501616679,0.0677301010707603,-0.0380431952068301
"cell21",0.212015188888488,-0.0974557281022029,-0.0158638869703808
"cell22",-0.19780328450197,-0.0520020609448333,-0.0121680465781347
"cell23",-0.137512601041055,-0.0353937626166982,-0.0180890814308093
"cell24",0.069818276874957,0.0668767696728585,-0.0452901577409033
"cell25",-0.244681408507005,-0.0623974006104362,-0.0343572375167816
"cell26",-0.0102121780199744,0.132757581774317,0.023679219327726
"cell27",0.0287121652464893,0.127519072575752,0.0162814582496401
"cell28",-0.0550786725808325,0.141958360669407,0.0353494465945486
"cell29",0.22254498657602,0.043112497221218,0.0356830052643528
"cell30",0.204694721288014,-0.103189109710634,-0.0225142556595006
"cell31",-0.144271037214604,-0.0335975822837488,-0.0137949362989948
"cell32",0.110643263685802,0.0655877409063297,-0.0258174387635819
"cell33",-0.0734287732120221,0.12457352926078,0.0334282332313349
"cell34",0.0690953633910658,0.0714616525540436,-0.0548199311483554
"cell35",-0.101730783035515,-0.0953762741963995,0.0044635514897236
"cell36",-0.0205209316695372,0.131712323764387,0.024816391248487
"cell37",-0.133645314408938,-0.0925817246165158,0.0232324256883176
"cell38",-0.19983483531007,-0.0754207767921259,-0.000763411332037831
"cell39",0.246639960029769,0.0208934389882767,0.0398867817653742
"cell40",0.017249635912415,-0.111785715255047,0.0607604392136292
"cell41",0.107640132666374,0.0581805097842017,2.90353388177015e-05
